,train,val,test
0,patient_028_node_4,patient_077_node_3,patient_036_node_4
1,patient_065_node_1,slide_298,patient_075_node_0
2,slide_57,patient_033_node_4,slide_393
3,slide_394,patient_070_node_4,patient_025_node_4
4,slide_319,slide_332,slide_71
5,slide_399,patient_066_node_4,slide_65
6,slide_90,patient_055_node_3,slide_123
7,slide_77,patient_009_node_3,slide_137
8,slide_168,patient_027_node_1,patient_093_node_3
9,patient_070_node_3,patient_009_node_4,patient_033_node_0
10,patient_068_node_4,patient_003_node_0,slide_48
11,slide_212,patient_070_node_2,patient_046_node_0
12,patient_016_node_1,patient_003_node_3,patient_054_node_4
13,patient_081_node_1,slide_117,patient_061_node_1
14,patient_088_node_1,patient_011_node_3,patient_099_node_1
15,slide_281,patient_045_node_2,patient_007_node_0
16,,patient_043_node_1,patient_004_node_1
17,,patient_057_node_4,slide_347
18,,patient_050_node_2,patient_038_node_1
19,,patient_056_node_4,slide_85
20,,slide_153,slide_142
21,,slide_397,patient_005_node_2
22,,slide_360,patient_087_node_3
23,,patient_090_node_1,slide_314
24,,patient_088_node_3,slide_152
25,,patient_090_node_3,patient_089_node_1
26,,patient_070_node_1,slide_51
27,,patient_047_node_4,patient_039_node_4
28,,slide_157,patient_071_node_2
29,,patient_079_node_1,slide_1
30,,slide_22,slide_108
31,,slide_323,patient_064_node_4
32,,patient_053_node_0,patient_053_node_3
33,,slide_154,patient_054_node_2
34,,patient_016_node_4,patient_025_node_2
35,,slide_60,slide_313
36,,patient_006_node_0,slide_293
37,,patient_024_node_0,patient_029_node_4
38,,patient_062_node_4,patient_061_node_2
39,,patient_090_node_4,slide_277
40,,slide_392,patient_044_node_0
41,,patient_074_node_0,patient_038_node_3
42,,patient_012_node_2,patient_099_node_3
43,,slide_279,patient_006_node_3
44,,slide_49,patient_035_node_1
45,,patient_083_node_0,patient_091_node_0
46,,slide_349,slide_8
47,,patient_023_node_0,slide_38
48,,slide_69,slide_145
49,,patient_011_node_4,slide_346
50,,patient_084_node_0,slide_336
51,,slide_156,patient_042_node_0
52,,patient_074_node_1,patient_049_node_0
53,,patient_032_node_2,patient_098_node_4
54,,patient_003_node_1,slide_16
55,,patient_084_node_1,patient_040_node_3
56,,slide_286,slide_177
57,,slide_226,patient_045_node_0
58,,patient_029_node_2,patient_092_node_4
59,,patient_084_node_3,patient_075_node_4
60,,slide_184,patient_046_node_4
61,,slide_163,slide_271
62,,slide_234,patient_066_node_3
63,,slide_167,patient_021_node_1
64,,patient_014_node_4,patient_015_node_2
65,,slide_255,patient_048_node_0
66,,patient_060_node_0,slide_214
67,,slide_251,patient_080_node_1
68,,slide_233,slide_379
69,,patient_015_node_1,slide_218
70,,patient_063_node_4,patient_005_node_3
71,,slide_171,slide_240
72,,slide_227,slide_161
73,,slide_186,slide_235
74,,slide_247,patient_069_node_1
75,,slide_310,slide_231
76,,slide_207,slide_180
77,,slide_209,patient_036_node_3
78,,slide_187,patient_069_node_2
79,,slide_386,slide_178
80,,slide_243,slide_264
81,,patient_097_node_4,patient_094_node_1
82,,patient_013_node_4,slide_213
83,,slide_260,patient_087_node_0
84,,patient_044_node_4,patient_077_node_4
85,,patient_026_node_2,slide_382
86,,patient_099_node_4,slide_238
87,,patient_026_node_3,slide_252
88,,slide_222,patient_024_node_2
89,,patient_029_node_1,patient_009_node_1
